Periodo,TPM
ene.2010,0.50
feb.2010,0.50
mar.2010,0.50
abr.2010,0.50
may.2010,0.50
jun.2010,0.74
jul.2010,1.24
ago.2010,1.80
sept.2010,2.20
oct.2010,2.64
nov.2010,2.87
dic.2010,3.12
ene.2011,3.25
feb.2011,3.34
mar.2011,3.72
abr.2011,4.30
may.2011,4.80
jun.2011,5.13
jul.2011,5.25
ago.2011,5.25
sept.2011,5.25
oct.2011,5.25
nov.2011,5.25
dic.2011,5.25
ene.2012,5.10
feb.2012,5.00
mar.2012,5.00
abr.2012,5.00
may.2012,5.00
jun.2012,5.00
jul.2012,5.00
ago.2012,5.00
sept.2012,5.00
oct.2012,5.00
nov.2012,5.00
dic.2012,5.00
ene.2013,5.00
feb.2013,5.00
mar.2013,5.00
abr.2013,5.00
may.2013,5.00
jun.2013,5.00
jul.2013,5.00
ago.2013,5.00
sept.2013,5.00
oct.2013,4.90
nov.2013,4.65
dic.2013,4.50
ene.2014,4.50
feb.2014,4.40
mar.2014,4.11
abr.2014,4.00
may.2014,4.00
jun.2014,4.00
jul.2014,3.88
ago.2014,3.63
sept.2014,3.36
oct.2014,3.14
nov.2014,3.00
dic.2014,3.00
ene.2015,3.00
feb.2015,3.00
mar.2015,3.00
abr.2015,3.00
may.2015,3.00
jun.2015,3.00
jul.2015,3.00
ago.2015,3.00
sept.2015,3.00
oct.2015,3.13
nov.2015,3.25
dic.2015,3.35
ene.2016,3.50
feb.2016,3.50
mar.2016,3.50
abr.2016,3.50
may.2016,3.50
jun.2016,3.50
jul.2016,3.50
ago.2016,3.50
sept.2016,3.50
oct.2016,3.50
nov.2016,3.50
dic.2016,3.50
ene.2017,3.40
feb.2017,3.25
mar.2017,3.13
abr.2017,2.88
may.2017,2.65
jun.2017,2.50
jul.2017,2.50
ago.2017,2.50
sept.2017,2.50
oct.2017,2.50
nov.2017,2.50
dic.2017,2.50
ene.2018,2.50
feb.2018,2.50
mar.2018,2.50
abr.2018,2.50
may.2018,2.50
jun.2018,2.50
jul.2018,2.50
ago.2018,2.50
sept.2018,2.50
oct.2018,2.60
nov.2018,2.75
dic.2018,2.75
ene.2019,2.76
feb.2019,3.00
mar.2019,3.00
abr.2019,3.00
may.2019,3.00
jun.2019,2.63
jul.2019,2.50
ago.2019,2.50
sept.2019,2.06
oct.2019,1.94
nov.2019,1.75
dic.2019,1.75
ene.2020,1.75
feb.2020,1.75
mar.2020,1.38
abr.2020,0.50
may.2020,0.50
jun.2020,0.50
jul.2020,0.50
ago.2020,0.50
sept.2020,0.50
oct.2020,0.50
nov.2020,0.50
dic.2020,0.50
ene.2021,0.50
feb.2021,0.50
mar.2021,0.50
abr.2021,0.50
may.2021,0.50
jun.2021,0.50
jul.2021,0.63
ago.2021,0.75
sept.2021,1.50
oct.2021,2.25
nov.2021,2.75
dic.2021,3.46
ene.2022,4.21
feb.2022,5.50
mar.2022,5.63
abr.2022,7.00
may.2022,8.02
jun.2022,8.81
jul.2022,9.43
ago.2022,9.75
sept.2022,10.55
oct.2022,11.07
nov.2022,11.25
dic.2022,11.25

